code,group_prefix,location
56-29,56,56-29
60-29,60,60-29
GH-29,GH,GH-29
GL-29,GL,GL-29
Ts-29,Ts,Ts-29
백-29,백,백-29
오-29,오,오-29
생-29,생,생-29
TD-29,TD,TD-29
PS-29,PS,PS-29
어-29,어,어-29
어정-29,어정,어정-29
1-30,1,1-30
57-30,57,57-30
51-30,51,51-30
53-30,53,53-30
56-30,56,56-30
60-30,60,60-30
GH-30,GH,GH-30
GL-30,GL,GL-30
Ts-30,Ts,Ts-30
백-30,백,백-30
오-30,오,오-30
생-30,생,생-30
TD-30,TD,TD-30
PS-30,PS,PS-30
어-30,어,어-30
어정-30,어정,어정-30
1-31,1,1-31
57-31,57,57-31
51-31,51,51-31
53-31,53,53-31
56-31,56,56-31
60-31,60,60-31
GH-31,GH,GH-31
GL-31,GL,GL-31
Ts-31,Ts,Ts-31
백-31,백,백-31
오-31,오,오-31
생-31,생,생-31
어-31,어,어-31
어정-31,어정,어정-31
1-32,1,1-32
57-32,57,57-32
51-32,51,51-32
53-32,53,53-32
60-32,60,60-32
GH-32,GH,GH-32
GL-32,GL,GL-32
Ts-32,Ts,Ts-32
백-32,백,백-32
오-32,오,오-32
생-32,생,생-32
어-32,어,어-32
어정-32,어정,어정-32
1-33,1,1-33
57-33,57,57-33
60-33,60,60-33
GH-33,GH,GH-33
GL-33,GL,GL-33
Ts-33,Ts,Ts-33
백-33,백,백-33
오-33,오,오-33
생-33,생,생-33
어-33,어,어-33
어정-33,어정,어정-33
1-34,1,1-34
57-34,57,57-34
60-34,60,60-34
GL-34,GL,GL-34
Ts-34,Ts,Ts-34
백-34,백,백-34
생-34,생,생-34
어-34,어,어-34
어정-34,어정,어정-34
1-35,1,1-35
57-35,57,57-35
60-35,60,60-35
GL-35,GL,GL-35
Ts-35,Ts,Ts-35
백-35,백,백-35
생-35,생,생-35
어-35,어,어-35
어정-35,어정,어정-35
1-36,1,1-36
57-36,57,57-36
60-36,60,60-36
GL-36,GL,GL-36
Ts-36,Ts,Ts-36
백-36,백,백-36
생-36,생,생-36
어-36,어,어-36
어정-36,어정,어정-36
1-37,1,1-37
57-37,57,57-37
60-37,60,60-37
GL-37,GL,GL-37
Ts-37,Ts,Ts-37
백-37,백,백-37
생-37,생,생-37
어-37,어,어-37
어정-37,어정,어정-37
1-38,1,1-38
57-38,57,57-38
60-38,60,60-38
GL-38,GL,GL-38
Ts-38,Ts,Ts-38
백-38,백,백-38
어-38,어,어-38
어정-38,어정,어정-38
1-39,1,1-39
57-39,57,57-39
60-39,60,60-39
GL-39,GL,GL-39
Ts-39,Ts,Ts-39
백-39,백,백-39
어-39,어,어-39
어정-39,어정,어정-39
1-40,1,1-40
57-40,57,57-40
60-40,60,60-40
GL-40,GL,GL-40
Ts-40,Ts,Ts-40
백-40,백,백-40
어-40,어,어-40
어정-40,어정,어정-40
1-41,1,1-41
57-41,57,57-41
60-41,60,60-41
GL-41,GL,GL-41
Ts-41,Ts,Ts-41
백-41,백,백-41
어-41,어,어-41
어정-41,어정,어정-41
57-42,57,57-42
60-42,60,60-42
GL-42,GL,GL-42
Ts-42,Ts,Ts-42
백-42,백,백-42
어-42,어,어-42
57-43,57,57-43
60-43,60,60-43
GL-43,GL,GL-43
Ts-43,Ts,Ts-43
백-43,백,백-43
어-43,어,어-43
57-44,57,57-44
60-44,60,60-44
GL-44,GL,GL-44
Ts-44,Ts,Ts-44
백-44,백,백-44
어-44,어,어-44
57-45,57,57-45
60-45,60,60-45
GL-45,GL,GL-45
Ts-45,Ts,Ts-45
백-45,백,백-45
어-45,어,어-45
57-46,57,57-46
60-46,60,60-46
GL-46,GL,GL-46
백-46,백,백-46
어-46,어,어-46
57-47,57,57-47
60-47,60,60-47
GL-47,GL,GL-47
백-47,백,백-47
어-47,어,어-47
57-48,57,57-48
60-48,60,60-48
GL-48,GL,GL-48
백-48,백,백-48
어-48,어,어-48
57-49,57,57-49
60-49,60,60-49
GL-49,GL,GL-49
백-49,백,백-49
어-49,어,어-49
57-50,57,57-50
60-50,60,60-50
GL-50,GL,GL-50
백-50,백,백-50
어-50,어,어-50
57-51,57,57-51
60-51,60,60-51
GL-51,GL,GL-51
백-51,백,백-51
어-51,어,어-51
57-52,57,57-52
60-52,60,60-52
GL-52,GL,GL-52
백-52,백,백-52
어-52,어,어-52
57-53,57,57-53
60-53,60,60-53
GL-53,GL,GL-53
백-53,백,백-53
어-53,어,어-53
57-54,57,57-54
60-54,60,60-54
GL-54,GL,GL-54
어-54,어,어-54
60-55,60,60-55
GL-55,GL,GL-55
어-55,어,어-55
60-56,60,60-56
GL-56,GL,GL-56
어-56,어,어-56
GL-57,GL,GL-57
GL-58,GL,GL-58
GL-59,GL,GL-59
GL-60,GL,GL-60
GL-61,GL,GL-61
GL-62,GL,GL-62
GL-63,GL,GL-63
GL-64,GL,GL-64
GL-65,GL,GL-65
GL-66,GL,GL-66
GL-67,GL,GL-67
GL-68,GL,GL-68
GL-69,GL,GL-69
GL-70,GL,GL-70
GL-71,GL,GL-71
